Title,Link
안드로이드 생태계에서 발견된 새 멀웨어, 배후에 중국 공안이 있다?,https://www.boannews.com/media/view.asp?idx=135114&page=3&kind=1
12개 손해보험사, 개인정보 보호법 위반으로 제재처분... 현대해상화재 등 4곳, 과징금 92억,https://www.boannews.com/media/view.asp?idx=135113&page=3&kind=2
인공지능(AI) 시대의 개인정보 정책 종합 설명회 열린다,https://www.boannews.com/media/view.asp?idx=135112&page=3&kind=2
조달청, 2024년 4분기 G-PASS 기업 65개사 신규 지정,https://www.boannews.com/media/view.asp?idx=135111&page=3&kind=2
마이크로소프트 애저 다중인증 매커니즘에서 심각한 우회 취약점 발견돼,https://www.boannews.com/media/view.asp?idx=135110&page=3&kind=1
FIDO 얼라이언스, 퍼블릭 세미나 통해 패스키 채택 가속화 위한 종합 웹 리소스 공개,https://www.boannews.com/media/view.asp?idx=135109&page=3&kind=3
과기정통부, ‘K-제로트러스트 보안모델’ 공공·금융 대상 첫 도입 사례 발표,https://www.boannews.com/media/view.asp?idx=135108&page=3&kind=2
지재위, 영업비밀·산업기술보호법 등 IP 소송 관할집중 넓혔다,https://www.boannews.com/media/view.asp?idx=135103&page=3&kind=2
연말연시 ‘유명 기업이나 기관 사칭한 피싱’ 공격 주의보,https://www.boannews.com/media/view.asp?idx=135104&page=4&kind=2
이지서티, 반정형 및 실시간 데이터 비식별화 솔루션 GS인증 획득,https://www.boannews.com/media/view.asp?idx=135107&page=4&kind=3
금융보안원, 블랙햇 유럽·아시아 컨퍼런스 연이어 발표 진행,https://www.boannews.com/media/view.asp?idx=135102&page=4&kind=2
네티스, 와이파이6 AX6000급 2.5Gbps 공유기 ‘MEX6000’출시,https://www.boannews.com/media/view.asp?idx=135106&page=4&kind=3
과기정통부, 디지털 안전 선도모델 성과 공유,https://www.boannews.com/media/view.asp?idx=135101&page=4&kind=2
과기정통부, ‘메타버스 얼라이언스 및 자율규제 성과공유회’ 개최,https://www.boannews.com/media/view.asp?idx=135079&page=4&kind=2
과기정통부, 성과 확산과 교류의 장 ‘2024 디지털 혁신 축제’ 개최,https://www.boannews.com/media/view.asp?idx=135080&page=4&kind=2
과수산업의 선도 모델 ‘2025년 스마트 과수원’ 조성은 어디에?,https://www.boannews.com/media/view.asp?idx=135081&page=4&kind=2
청소년의 89.4%, ‘딥페이크 불법 영상물’을 범죄로 인식,https://www.boannews.com/media/view.asp?idx=135082&page=4&kind=2
금융위, 혁신금융서비스 25건 신규 지정,https://www.boannews.com/media/view.asp?idx=135083&page=4&kind=2
SKT, 텔코 에지 AI 연구 성과로 ‘월드 커뮤니케이션 어워드’ 수상,https://www.boannews.com/media/view.asp?idx=135084&page=4&kind=3
LG전자 김병훈 CTO, ‘제34회 해동기술상’ 수상,https://www.boannews.com/media/view.asp?idx=135085&page=4&kind=3
TTA-한국과학기술연구원, 상호협력에 대한 협약 체결,https://www.boannews.com/media/view.asp?idx=135086&page=4&kind=2
NIPA, 의료 AI ‘닥터앤서2.0’ 글로벌 경쟁력 입증한다,https://www.boannews.com/media/view.asp?idx=135087&page=4&kind=2
프라이빗테크놀로지, ‘조달의 날 IR 데이’ 우승,https://www.boannews.com/media/view.asp?idx=135100&page=4&kind=3
인텔리빅스, 2024 산업기술진흥유공 산업부 장관 표창 수상,https://www.boannews.com/media/view.asp?idx=135099&page=4&kind=3
안드로이드 모바일 악성코드 탐지, 클릭 한 번으로 신속 정확하게 잡아낸다,https://www.boannews.com/media/view.asp?idx=135098&page=4&kind=3
관세청, 빅데이터 활용으로 사회안전 지킨다,https://www.boannews.com/media/view.asp?idx=135078&page=4&kind=2
한국지역정보개발원, 지자체 사이버위협 예방·대응에 앞장선다,https://www.boannews.com/media/view.asp?idx=135088&page=4&kind=2
사이냅소프트, 서울형 R&D 지원사업 최우수과제 선정,https://www.boannews.com/media/view.asp?idx=135096&page=4&kind=3
라온시큐어, 모바일 신분증 검증·사본 생성 솔루션 선보여,https://www.boannews.com/media/view.asp?idx=135097&page=5&kind=3
한수원, 세계 최초 원전 특화형 초거대 인공지능 구축 착수,https://www.boannews.com/media/view.asp?idx=135089&page=5&kind=2
한수원 사내벤처 ‘딥아이’, AI 비파괴 검사 방법 美 전력연구소 인증 획득,https://www.boannews.com/media/view.asp?idx=135090&page=5&kind=2
[오늘의 보안 영어] at the bequest of,https://www.boannews.com/media/view.asp?idx=135095&page=5&kind=1
[긴급] ‘방첩사 작성한 계엄문건 공개’ 메일, 열어보면 털린다,https://www.boannews.com/media/view.asp?idx=135093&page=5&kind=2
아카마이, 금융보안원 CSP 안전성 대표 평가 완료,https://www.boannews.com/media/view.asp?idx=135094&page=5&kind=3
종단간 암호화를 제공한다는 클라우드 서비스, 정말로 안전할까?,https://www.boannews.com/media/view.asp?idx=133755&page=5&kind=4
디지털행정서비스 장애, 주기적 점검으로 예방하고 체계적 관리로 신속 복구,https://www.boannews.com/media/view.asp?idx=135049&page=5&kind=2
중소기업 혁신, 국방 첨단전략산업 발전의 열쇠,https://www.boannews.com/media/view.asp?idx=135050&page=5&kind=2
과세정보 노리는 해킹 공격, 이제 AI로 막는다,https://www.boannews.com/media/view.asp?idx=135051&page=5&kind=2
구매한 물건, 주소정보 활용해 로봇이 주차장까지 옮겨 드려요,https://www.boannews.com/media/view.asp?idx=135052&page=5&kind=2
중기부, ‘글로벌 혁신특구’ 조성으로 AI·우주항공·바이오 분야의 미래 성장동력 창출,https://www.boannews.com/media/view.asp?idx=135053&page=5&kind=2
인공지능 전문 기업들이 제조 현장 바꾼다,https://www.boannews.com/media/view.asp?idx=135054&page=5&kind=2
개인의 학습 경험과 역량의 디지털 연계 추진한다,https://www.boannews.com/media/view.asp?idx=135055&page=5&kind=2
SKT-SK C&C, AI로 B2B 사업 혁신한다,https://www.boannews.com/media/view.asp?idx=135056&page=5&kind=2
NIA, 히말라야의 작은 왕국 부탄에 정보접근센터 개소,https://www.boannews.com/media/view.asp?idx=135057&page=5&kind=2
부산정보산업진흥원, AI시대 기업가 컨퍼런스 개최,https://www.boannews.com/media/view.asp?idx=135058&page=5&kind=2
서울시여성가족재단, 우먼테크 교육 플랫폼 ‘2024 우먼잇츠 기술 세미나’ 개최,https://www.boannews.com/media/view.asp?idx=135059&page=5&kind=2
구로구, 내년 2월까지 공공 CCTV 89대 확충,https://www.boannews.com/media/view.asp?idx=135060&page=5&kind=2
오차범위 5㎝ 고정밀 위치정보서비스로 스마트 해운·항만 시대 열어간다,https://www.boannews.com/media/view.asp?idx=135061&page=5&kind=2
